"song","artist","valence"
"Animals - Radio Edit","Martin Garrix","0.0381"
"I Luv Your Girl","The-Dream","0.0406"
"Pop Style","Drake","0.0594"
"Lose Yourself - From ""8 Mile"""" Soundtrack""","Eminem","0.0596"
"The Reason","Hoobastank","0.0681"
